FID	IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
M11070604	M11070604	-0.0479714	-0.0571677	-0.014489	0.0270869	0.0113038	0.0126186	-0.0183688	0.0332023	-0.022026	-0.0117693
M11072009	M11072009	-0.048589	-0.0732265	-0.000535256	0.0274935	-0.00220726	-0.0260644	0.0165939	0.031287	-0.0388129	-0.0382063
M11073010	M11073010	-0.0480963	-0.0647161	0.00635986	0.0135642	-0.0321628	-0.00942648	0.0275999	-0.0144786	-0.0307914	0.0109657
M11071305	M11071305	-0.0505856	-0.067187	-0.00709736	-0.0105715	-0.00489487	-0.027912	-0.0239979	-0.000520484	-0.0207145	0.0277292
M11073009	M11073009	-0.0480567	-0.0401283	0.000801572	-0.00428815	-0.000991298	0.0102863	0.0154762	0.00106002	-0.038979	0.00173858
M11082409	M11082409	-0.0475922	-0.0706799	0.008331	-0.00122526	0.00783809	0.012946	-0.0258027	0.0014574	-0.0209997	0.036008
M11082401	M11082401	-0.0482217	-0.0688881	-0.00242257	0.00248031	-0.031721	-0.0471245	0.00970588	-0.00506793	-0.0404118	0.00700512
M11062906	M11062906	-0.0517295	-0.0592564	-0.0058631	0.0194892	-0.0472991	0.0278275	0.0633765	0.0157881	-0.00808235	-0.0315426
M11082019	M11082019	-0.0511233	-0.0635613	0.0201794	0.017002	0.0309836	0.00707066	-0.00157968	-0.0304271	0.0335288	0.00132045
M11082007	M11082007	-0.0493401	-0.0596148	0.0136956	-0.00225822	-0.0059741	0.0199595	-0.00743368	0.0555958	-0.0124016	-0.00629697
M11062204	M11062204	-0.0501174	-0.0562575	0.0112161	0.00537242	-0.00315316	0.0112409	-0.0198958	0.0209825	-0.0168518	0.0306323
M11071309	M11071309	-0.0518199	-0.0662585	0.00203345	0.00285133	0.00881999	0.0192527	-0.00377156	0.00715784	-0.0335527	0.0135725
M11072008	M11072008	-0.0468208	-0.0372453	0.00720777	-0.00348697	0.0120537	0.0184491	-0.0194175	0.0307767	-0.0118338	0.0004395
M11081311	M11081311	-0.0506674	-0.0605132	-0.0171833	-0.000545551	0.00595135	0.00891897	-0.0120068	-0.010568	0.0337916	-0.01255
M11073016	M11073016	-0.0501168	-0.048136	-0.0101113	-0.00346626	0.0110562	0.0174815	-0.0024341	-0.014775	0.0166846	-0.0301991
M11072312	M11072312	-0.0483124	-0.0718364	0.00555512	0.0114339	0.000853922	-0.0319441	-0.0238778	-0.0477373	-0.000689125	-0.0105204
M11082011	M11082011	-0.0488072	-0.0612495	0.0052566	0.0176731	-0.013773	0.0113097	-0.00484979	0.00116916	-0.0281455	-0.0065378
M11062901	M11062901	-0.0492756	-0.0633138	0.00356201	-0.00991758	0.0108531	0.035104	0.0434896	0.0334003	-0.0169308	0.0138476
M11081703	M11081703	-0.0501008	-0.0617125	0.0196574	-0.0277498	0.00362893	0.0495699	0.0363798	-0.00580322	0.0285317	-0.0266168
M11062907	M11062907	-0.0490465	-0.0636412	-0.0113324	-0.00533267	0.00811935	0.0312402	0.0509906	0.0121999	0.0444237	0.016583
M11082009	M11082009	-0.0501038	-0.0659889	-0.0178596	-0.0122357	-0.000946608	-0.0263323	0.0016103	-0.00638247	-0.066138	-0.0139315
M11073014	M11073014	-0.0501942	-0.0625476	-0.00673345	-0.00360176	0.0148801	-0.00317536	0.00717091	-0.0318641	-0.0265401	0.00918396
M11071304	M11071304	-0.0496659	-0.0587185	0.0155093	0.0264588	-0.0162539	-0.0315174	0.00418436	-0.00525479	0.0220126	-0.0211105
M11073012	M11073012	-0.0498999	-0.0349752	0.0249822	0.00527262	0.0150647	-0.0127478	-0.0241047	-0.00230973	0.00931568	-0.00948963
M11072702	M11072702	-0.0512606	-0.0646853	0.00675707	-0.0026048	-0.00623851	-0.00776788	-0.0221416	-0.00544095	-0.000145368	0.0199643
M11081710	M11081710	-0.0496648	-0.0578126	-0.0106375	0.011485	0.0344428	-0.0310542	-0.0180981	0.0144025	-0.0381771	-0.0131281
M11082403	M11082403	-0.0483886	-0.0629393	0.00157025	0.0233372	-0.0218992	-0.00996293	-0.0393826	0.0165892	-0.0391566	0.0017954
M11081305	M11081305	-0.0505913	-0.0699928	-0.00786801	-0.000799953	0.00612706	0.0136972	-0.021935	0.0082381	-0.0120366	-0.00056306
M11081714	M11081714	-0.0491339	-0.0611363	-0.00362825	-0.000263648	0.0238009	0.0343574	0.00877079	0.0117632	0.0212558	-0.0300619
M11073008	M11073008	-0.0499218	-0.0710799	0.000822211	-0.0109539	-0.0344419	-0.0121091	-0.0330945	0.0124381	0.037377	0.0326513
M11082006	M11082006	-0.0493302	-0.0617487	-0.0130487	0.00893037	0.026926	0.00372281	-0.0122342	-0.0261558	-0.0172126	0.0230472
M11082405	M11082405	-0.0502318	-0.0662105	-0.00678922	0.0277887	-0.0189314	-0.0261453	-0.0136239	0.0183419	-0.0422628	0.00526704
M11082003	M11082003	-0.0519724	-0.0698508	0.00187863	0.0122887	0.011374	-0.0390475	0.0131789	0.023011	-0.00234361	-0.00323479
M11080305	M11080305	-0.051717	-0.0593678	0.000658948	0.00637479	0.0109182	0.0211945	0.0181203	-0.0512788	-0.0401541	-0.00294941
M11081705	M11081705	-0.0507407	-0.0428452	-0.00163055	-0.012313	0.00181722	0.00625561	-0.0354704	-0.031169	0.0225568	-0.0503666
M11073001	M11073001	-0.0527445	-0.0432069	0.00784341	0.00532975	-0.00290288	0.00371134	0.023895	0.0162419	-0.0456458	-0.0082166
M11071307	M11071307	-0.0510633	-0.0442726	0.013325	-0.00659822	0.0217417	0.0318758	0.00705774	-0.00282946	0.0456013	0.0519158
M11073006	M11073006	-0.0523794	-0.0572843	-0.0134709	-0.00616648	0.00656478	-0.0074218	0.0247689	0.00688061	-0.00296664	0.0296177
M11082406	M11082406	-0.0513008	-0.0575954	0.00748498	-0.00119044	0.00569364	0.0121296	-0.014426	-0.0114483	0.0778727	-0.018292
M11082021	M11082021	-0.0518341	-0.0692679	0.00414227	-0.00632052	0.0106319	0.0163774	-0.00351417	-0.00526789	0.0317944	0.0272324
M11072306	M11072306	-0.0493317	-0.0338374	0.0212374	0.0037099	0.0311839	-0.0013251	-0.0162277	-0.0355518	0.0501789	-0.0148763
M11072707	M11072707	-0.0513527	-0.0636401	0.000741677	-0.000234662	0.00292497	0.0163673	0.0119492	-0.00160754	0.00957001	0.0391883
M11070603	M11070603	-0.051292	-0.0620497	-0.00772147	-0.000916845	-0.0206412	-0.0268315	0.0122061	-0.0152066	-0.0536415	-0.00160548
M11082410	M11082410	-0.0472181	-0.067018	0.0165857	-0.00554853	-0.0398072	-0.0201227	0.00183792	-0.0108447	0.00430345	-0.0473199
M11081713	M11081713	-0.0492949	-0.0489937	0.00405461	0.00980092	-0.00299287	0.0324573	0.0211441	-0.00286974	0.0303278	-0.0505613
M11081303	M11081303	-0.0499319	-0.0632177	0.00472602	0.0071965	0.014059	0.0154037	0.00596702	0.00749781	-0.0198771	-0.00750463
M11061608	M11061608	-0.0502959	-0.0535559	-0.00971714	0.0105907	-0.00307398	0.00670348	0.0228014	0.0118123	-0.010953	0.0518024
M11062911	M11062911	-0.0507457	-0.0462598	0.00999541	-0.0131013	0.0136033	0.00356935	0.0154649	-0.0461848	0.0120684	-0.0275691
M11082014	M11082014	-0.0524861	-0.0612981	0.00382292	-0.00252523	-0.0262842	-0.0199848	0.0527848	-0.0423611	-0.024051	-0.065736
M11081712	M11081712	-0.0497203	-0.0597857	0.0273564	0.00117601	-0.0157662	0.00557065	0.00669982	-0.0263137	0.04688	-0.0149336
M11072709	M11072709	-0.050761	-0.0465802	0.0038361	0.0112448	-0.000921473	-0.00303783	-0.0282297	-0.030106	-0.011049	-0.0464015
M11052805	M11052805	-0.0512701	-0.0382661	0.0219647	-0.00786314	0.0057646	-0.00595031	0.0169607	0.0139298	-0.0317121	0.0394059
M11082016	M11082016	-0.0487937	-0.0717031	-0.00619589	0.00255214	-0.020427	0.0239013	-0.00749305	0.0381641	0.0141745	0.0577535
M11082012	M11082012	-0.0509602	-0.0737477	-0.0147493	-0.00561359	-0.00259136	0.0228318	-0.00301563	0.033927	0.0134857	0.0230755
M11082008	M11082008	-0.0487051	-0.0472354	0.00658068	-0.00331582	0.0145811	0.0196618	-0.00129794	-0.00933887	0.014579	-0.00940959
M11072317	M11072317	-0.0525994	-0.0589656	-0.00733353	0.0011421	-0.00557378	-0.0124119	0.0268915	0.00131617	-0.0540232	0.0267335
