FID	IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
M11062908	M11062908	-0.0283656	0.0829919	-0.00707555	0.00978653	-0.00431002	0.0245667	-0.0665005	-0.000794009	-0.0331759	-0.027958
M11050416	M11050416	-0.021084	0.0635673	0.0122196	0.016452	-0.000334594	-0.00341845	0.0425524	-0.100968	-0.0835165	0.0467577
M11062524	M11062524	-0.0398922	0.0783023	0.0145167	-0.00115405	-0.0324902	-0.00818307	0.0502718	0.0469126	-0.0267553	0.083261
M11050507	M11050507	-0.0369461	0.0880296	-0.0123975	-0.0136635	0.00550503	-0.0246858	0.128629	0.00792166	0.00260812	0.0388928
M11050508	M11050508	-0.0301392	0.0734209	-0.0332002	-0.00847725	-0.00135584	-0.0275337	0.122976	0.075888	-0.0619302	0.0732292
M11050501	M11050501	-0.035969	0.091243	0.000803825	0.0142182	0.0117489	0.0205851	-0.0593471	-0.0657081	0.0191004	0.0289118
M11051806	M11051806	-0.0278398	0.0274	0.00496345	0.0170978	-0.0174193	-0.00734424	-0.0398438	-0.00988267	-0.0320159	0.00293919
M11051201	M11051201	-0.0280728	0.0340369	-0.0297796	0.0095259	-0.0060199	-0.062892	0.0209953	-0.00320488	-0.0384658	0.00650211
M11051202	M11051202	-0.0199052	0.051848	-0.021331	0.021304	0.0144501	-0.00439651	0.0191616	0.0256785	-0.0501361	0.0640901
M11060103	M11060103	-0.0372498	0.0985693	0.0119976	0.000546533	0.0320032	0.0204468	-0.0484259	-0.0447236	0.0876222	0.006806
M11061601	M11061601	-0.0395278	0.0803191	-0.0157777	0.027427	-0.00741818	-0.00762788	0.0904604	0.0194737	-0.00976543	0.000864955
M11051803	M11051803	-0.0259355	0.0687031	0.0116701	0.0117066	-0.0236825	0.00628185	0.0132033	-0.00983345	-0.0176124	-0.0530439
M11052809	M11052809	-0.0205806	0.0654126	0.00530921	0.0062806	-0.00410638	-0.0319729	0.0982853	-0.00356375	-0.0874165	0.0711195
M11060920	M11060920	-0.0273014	0.0530633	-0.00661211	-0.0163472	-0.00554328	-0.0316613	0.0712911	-0.00603424	-0.0263972	0.0137146
M11052802	M11052802	-0.0317129	0.0866556	0.00798077	0.0142266	-0.00561128	0.00675142	-0.0222912	-0.00735681	0.0225584	-0.0106489
M11070602	M11070602	-0.0371202	0.088644	0.0245772	0.00515341	0.0103765	0.0332442	-0.0556665	-0.0579611	-0.00344653	0.0568633
M11050415	M11050415	-0.00236008	0.0547589	0.0199309	-0.0107593	-0.0155437	0.0146875	0.133732	0.0309099	-0.0602874	0.0476013
M11051903	M11051903	-0.031946	0.0598353	-0.0184193	0.00720631	-0.00179053	-0.00711567	-0.0223181	0.00051849	-0.00891172	-0.0178922
M11051209	M11051209	-0.016088	0.0643937	-0.00556023	-0.0137938	-0.00980064	-0.0502996	0.0461441	0.0626095	-0.0398231	0.04077
M11060912	M11060912	-0.0202682	0.0599801	0.0100445	-0.0210201	0.00769741	-0.0361227	-0.00838938	-0.00323368	-0.0400281	9.01066e-05
M11050516	M11050516	-0.022389	0.0619284	-0.00341039	-0.005849	-0.0208282	-0.0144786	0.0329016	0.0160786	-0.00205274	-0.0338995
M11062205	M11062205	-0.037812	0.0818688	-0.0264891	-0.00190536	-0.0101935	-0.0374669	0.13251	0.00965886	-0.011831	0.0625508
M11050403	M11050403	-0.0377647	0.0941104	0.00478688	-0.00943894	0.0340029	-0.00684322	-0.0507165	-0.0159794	0.0353178	-0.0136158
M11050410	M11050410	-0.0316443	0.0808737	-0.00351856	-0.00745113	-0.0123364	-0.00297596	0.0652944	0.0348843	-0.0215201	0.028704
M11052506	M11052506	-0.0285265	0.0785915	0.000748143	-0.00463381	-0.00890347	0.01234	-0.0296136	-0.00269113	-0.10388	0.0224113
M11050505	M11050505	-0.0190132	0.0640042	0.00471785	-0.00913397	-0.00705458	-0.00571966	0.0334613	0.00326527	0.0224312	-0.0234809
M11060919	M11060919	-0.0273327	0.0704513	-0.0060443	-0.0146871	-0.0135161	-0.0506335	0.0125305	0.047177	-0.119383	0.0281453
M11050504	M11050504	-0.025885	0.0679808	-0.0196099	0.00707141	0.00617358	0.0396066	-0.0121523	-0.00616009	-0.010696	-0.0135839
M11050406	M11050406	-0.0388061	0.0907873	0.0108948	0.0225135	-0.000790934	-0.0279429	0.0700039	0.0310302	-0.0579694	0.00265301
M11051115	M11051115	-0.038408	0.0827675	0.0011917	0.0216505	-0.0142713	-0.0169545	0.0929638	0.0597887	0.0264818	0.0385089
M11051106	M11051106	-0.0214789	0.0700284	0.00182083	-0.0333807	-0.0164706	-0.0118886	0.0200217	0.025361	0.0576652	-0.00471505
M11051107	M11051107	-0.0384834	0.0913376	-0.0100313	0.00916641	0.0144643	0.05043	-0.0965068	-0.0535952	-0.000607168	-0.0339604
M11062516	M11062516	0.0814332	-0.00968716	-0.00120501	-0.0141256	0.0185834	-0.0399121	-0.0217171	-0.021212	-0.0125713	0.000903834
M11073013	M11073013	0.0789643	-0.00722824	-0.0261839	-0.0576641	0.0665979	0.0392687	-0.0356278	-0.0165289	0.0119644	0.11789
M11072001	M11072001	0.0803455	-0.0106939	-0.0114075	-0.0352949	-0.00930011	-0.0269747	0.0826071	0.0108868	-0.0251741	0.00787726
M11062208	M11062208	0.079129	-0.0101681	-0.00932774	-0.050247	0.0457852	-0.030484	0.000891709	0.0198614	0.0701325	0.0143593
M11061508	M11061508	0.0753982	-0.0102538	-0.00306534	-0.0333407	0.0345127	0.0384446	0.00199285	-0.0421542	-0.0259944	0.0762313
M11060917	M11060917	0.0800162	-0.0097303	-2.69294e-05	-0.00899738	0.0383579	-0.0116653	0.0555642	0.0803585	-0.0500051	0.00107946
M11062211	M11062211	0.0795312	-0.0034289	-0.00434381	-0.0516007	0.00111766	-0.0439249	0.00492114	-0.0341708	-0.0569762	0.02395
M11062507	M11062507	0.0772117	-0.00920844	0.0245908	-0.0159922	-0.0147251	-0.047403	-0.0270811	0.0498224	-0.0267468	-0.0327686
M11062505	M11062505	0.0749024	-0.0123977	-0.0148183	-0.0197105	0.0618663	-0.0180051	-0.0217739	-0.0329102	-0.0351668	0.0302411
M11060911	M11060911	0.0802821	-0.00911574	0.00297009	-0.0193627	-0.00574695	-0.0114718	0.173944	0.121782	0.132512	-0.105843
M11062517	M11062517	0.0780284	-0.00704138	-0.00441781	-0.0292602	0.0622541	0.0427523	-0.0571093	-0.0300372	0.00239071	0.031061
M11052816	M11052816	0.0791184	-0.00949583	-0.0134269	-0.067087	0.0672948	0.0413301	-0.214707	-0.274381	-0.351532	-0.371463
M11060918	M11060918	0.0750568	-0.00534057	-0.0167801	-0.0331351	0.0303809	0.0453438	-0.0383915	-0.0428597	0.000248216	0.0343595
M11060906	M11060906	0.0762149	-0.00331743	-0.00459924	-0.0445125	-0.00941363	-0.000648686	-0.0347604	-0.044463	-0.0509168	0.0960974
M11081709	M11081709	0.0777193	-0.00747159	-0.0203334	-0.0681054	0.0249565	0.00354862	-0.0400504	0.00122566	-0.0420309	0.0695625
M11062522	M11062522	0.0774218	-0.00294749	0.0438564	0.0393238	-0.0107547	0.0351555	-0.0183627	-0.0447591	0.0135036	-0.0548861
M11060109	M11060109	0.0775259	-0.00582914	-0.00228123	-0.0436934	0.023716	0.0294358	-0.00873713	-0.0205225	0.0407106	-0.0469407
M11072301	M11072301	0.076476	-0.00138949	-0.0128645	-0.0388693	0.0119858	0.101134	-0.298364	-0.0827639	-0.0990316	0.227511
M11062203	M11062203	0.0766379	-0.00788435	0.00717083	-0.035409	0.00990328	0.0217176	-0.0397705	-0.00896853	0.0139858	-0.0321008
M11061509	M11061509	0.0772392	-0.00197085	0.00232203	-0.0315059	-0.00981817	0.0164289	0.0368426	0.0530174	0.0290764	0.0713543
M11070601	M11070601	0.0794539	-0.0118433	0.0240111	-0.0576426	-0.0175426	-0.00927041	0.0475042	0.00655719	0.0352382	0.0631422
M11072303	M11072303	0.0772727	-0.0059751	-0.000674823	-0.0305075	0.00147732	-0.00630369	-0.0212402	0.0418848	0.0375806	0.028975
M11062523	M11062523	0.0808434	-0.0125591	-0.0103204	-0.0334066	-0.00133862	0.0502575	0.100842	0.0664463	0.0531931	0.024971
M11081307	M11081307	0.0793043	-0.00364521	0.0033931	-0.0391215	-0.00912639	-0.0295904	-0.0134963	-0.0219506	0.00490546	-0.0117741
M11081308	M11081308	0.0786468	-0.00364471	-0.0109613	-0.0166286	0.0289919	0.0223211	0.0289675	0.0125177	0.0778841	-0.0129463
M11072321	M11072321	0.0658298	0.00437723	-0.0203552	-0.0333226	0.00296107	0.00221773	0.00595149	0.0102231	-0.0237104	0.0150785
M11070610	M11070610	0.077389	-0.00375296	-0.00918881	-0.0395991	0.000407937	-0.0367788	0.04427	0.00776422	-0.0657529	0.000830806
M11061506	M11061506	0.0798397	-0.0102531	-0.465634	0.332285	-0.0450377	0.00324211	-0.0152382	-0.007164	0.0060362	-0.0130721
M11060901	M11060901	0.0798738	-0.0146765	0.00712612	-0.0195939	0.00920379	-0.00484822	0.0482445	0.0163186	-0.00108773	0.0384387
M11062501	M11062501	0.0802075	-0.0118822	-0.061232	-0.00565145	0.0344279	0.00267184	-0.010248	0.0302551	-0.108387	-0.00307851
M11060110	M11060110	0.0774538	-0.00760289	-0.00667197	-0.0411649	0.0170873	0.0239818	-0.0382636	-0.0557008	-0.0286675	0.07279
M11062905	M11062905	0.0802669	-0.0117237	-0.420802	0.301208	-0.0313052	0.00500391	0.0113365	-0.0122282	0.0420804	0.00108323
M11060205	M11060205	0.0795947	-0.0078265	-0.461093	0.327878	-0.0230353	0.0041037	-0.034535	-0.00507758	0.0124017	-0.00687389
M11060107	M11060107	0.0782347	-0.00759327	-0.00880902	-0.0259181	0.00104862	-0.0439667	0.221458	-0.155988	-0.00508015	-0.349
M11062510	M11062510	0.080524	-0.00899631	-3.65612e-05	-0.0388534	0.0163277	-0.0309609	0.233993	-0.151321	-0.0252367	-0.350243
M11072323	M11072323	0.0774189	-0.0118264	0.001123	-0.0382433	-0.0290085	0.0472174	0.0254973	0.0549088	-0.0117464	0.0144029
M11060108	M11060108	0.0775061	-0.00676745	0.019953	-0.0354886	0.0141599	0.00113472	-0.00969051	-0.0240559	-0.0489712	0.0373325
M11060914	M11060914	0.0795204	-0.0118697	-0.0137073	-0.0753549	-0.14623	0.0944386	-0.210985	0.68636	-0.0970587	-0.335407
M11052803	M11052803	0.0592387	0.00904439	0.0247373	-0.0413743	-0.0123647	0.00290623	-0.00589871	-0.00484327	-0.0197006	0.0479724
M11082005	M11082005	0.0795173	-0.0110075	-0.00791813	-0.0383094	0.0339552	0.0150094	0.0197183	-0.0651532	0.0523634	0.0317673
M11062913	M11062913	0.0810527	-0.0127827	-0.0180329	-0.0225653	0.0373282	0.0464803	6.5697e-06	-0.0573579	0.0364771	0.0152781
M11060916	M11060916	0.0756621	-0.0119922	0.006396	-0.0331342	0.0405002	-0.0403237	-0.000681533	0.0498913	-0.00208886	0.0198034
M11081707	M11081707	0.0766863	-0.00316841	-0.0201013	-0.0450308	0.0329901	0.0126204	0.0260933	-0.109726	-0.0951197	0.0415891
M11061503	M11061503	0.0802236	-0.0142891	0.000107333	-0.0186244	0.0155051	-0.0535101	0.114962	0.0205811	0.0911584	-0.068425
M11060923	M11060923	0.0812245	-0.0152073	-0.00836365	-0.043139	-0.00559893	0.0188717	0.00685737	0.0336468	-0.0147067	0.0346209
M11061511	M11061511	0.0786951	-0.00895684	0.00974485	-0.00820158	0.0177463	-0.0313881	-0.0765129	0.0217742	-0.076872	0.0638798
M11061505	M11061505	0.0770467	0.00142222	-0.0367555	-0.0234014	0.0231129	0.014124	-0.0726283	-0.0452217	-0.045399	0.139258
M11080307	M11080307	0.0797217	-0.00672025	-0.0110226	-0.0576652	0.0177895	0.0293061	-0.0168851	0.00169297	-0.000911065	0.10853
M11060204	M11060204	0.0785421	-0.0105963	-0.00486721	-0.057771	-0.0279596	0.026756	0.058351	0.00211985	0.00871292	-0.0495004
M11062912	M11062912	0.0751913	-0.00632704	-0.00929333	-0.0430945	0.0317932	0.0328005	-0.0036043	0.0385634	-0.0730966	0.0645868
M11062207	M11062207	0.0790826	-0.00511627	-0.018049	-0.0273536	0.0193801	-0.00835269	0.0156162	-0.015185	-0.0310883	-0.0127934
M11052807	M11052807	0.0757427	-0.00107967	-0.000519046	-0.0707904	0.0249968	0.0308148	-0.0315873	0.0235822	-0.0025477	0.147778
M11060114	M11060114	0.0639299	-0.00453127	-0.00274757	-0.0316618	0.0374494	0.0666229	0.0358501	-0.0415467	0.00730152	-0.0163721
M11062202	M11062202	0.0791528	-0.007623	-0.0237494	-0.066775	0.0462876	-0.00920468	-0.00088632	-0.0454931	8.35264e-05	0.0183883
M11060112	M11060112	0.0792325	-0.00738844	-0.0125055	-0.0283877	-0.00174429	0.0601528	-0.0324418	0.0287783	0.0673977	-0.0170266
M11061604	M11061604	0.0758611	-0.00491148	-0.0168823	-0.0470137	0.0461648	-0.0202527	-0.0467234	-0.0378843	-0.0305769	0.059756
M11062910	M11062910	0.0758747	-0.00482329	0.00311599	-0.0179183	0.00561522	0.0397499	-0.0304925	-0.0226583	0.0351147	0.00325444
M11061510	M11061510	0.0752758	0.000209174	0.000193128	-0.0451643	0.0144117	-0.00264256	-0.00584115	-0.0196738	0.0140827	0.0865649
M11072307	M11072307	0.0778382	-0.00978232	-0.00697964	-0.0644882	-0.0179217	0.0565713	0.00707415	0.00604956	-0.0337989	-0.000510835
M11071306	M11071306	0.0799934	-0.00559376	-0.00165605	-0.0480284	-0.00946736	0.0344048	0.0364439	0.0175216	0.0737737	-0.0113517
M11072010	M11072010	0.0768051	-0.00721194	-0.0127159	-0.0425543	0.0395324	0.0122213	-0.0257679	0.0371062	-0.0766285	0.0696706
M11072322	M11072322	0.0750708	-0.00293555	-0.0169561	-0.035867	0.0018317	0.0220896	-0.0396363	-0.0807891	-0.00859355	0.0753768
M11062509	M11062509	0.0805736	-0.00608607	0.00196249	-0.0443135	0.0328189	0.0146712	-0.0927855	-0.100992	-0.105647	-0.141264
M11073002	M11073002	0.078893	-0.00881104	-0.0166633	-0.00905466	-0.0101557	0.0210294	-0.000534968	0.0307428	-0.0173517	-0.0250323
M11081310	M11081310	0.0785395	-0.00872968	-0.00981852	-0.0194832	0.042265	0.0107949	0.0297749	-0.094859	-0.047868	-0.063494
M11062512	M11062512	0.0631411	-0.00712915	0.0117747	-0.00250379	-0.0142942	0.00350891	-0.00560609	-0.01999	-0.0521542	-0.0436224
M11062518	M11062518	0.0795142	-0.0126325	-0.0154889	-0.052436	0.0307914	-0.840436	-0.240441	0.0528587	0.0959226	-0.0174131
M11070608	M11070608	0.0784687	-0.00107684	-0.0560716	-0.0410396	0.0490457	-0.0478397	0.0209527	-0.0196152	0.0258237	-0.0255838
M11060111	M11060111	0.0777143	-0.00591081	0.123505	0.124705	-0.448155	-0.00789495	-0.0401349	-0.0547347	0.091607	0.00819522
M11062213	M11062213	0.0762177	-0.0100059	0.003966	-0.0518024	0.0112832	0.0152502	0.01012	0.060858	0.051522	0.042983
M11052817	M11052817	0.0765777	-0.00812256	0.153665	0.138359	-0.36173	0.0194793	-0.0654544	-0.072068	-0.0475975	0.030596
M11062206	M11062206	0.0779169	-0.00476094	0.0125279	-0.0175552	0.0271171	0.00230344	0.0533746	0.011802	0.104739	-0.0398351
M11073004	M11073004	0.0811458	-0.0108187	-0.0108317	-0.0353386	0.00132833	-0.000800872	0.126613	-0.00395817	0.0759973	-0.00459585
M11072318	M11072318	0.07816	-0.00977758	-0.0211703	-0.0431046	-0.034667	-0.00773968	-0.033202	0.132404	-0.190431	0.0369507
M11060907	M11060907	0.0620498	0.00849635	0.00961267	-0.0378022	0.0158638	0.0326451	-0.0416315	0.0671846	0.12531	-0.0250503
M11060113	M11060113	0.0593315	0.0103001	-0.0174364	-0.0341738	0.0135394	0.103177	-0.0698242	0.0521239	0.0909666	0.00486631
M11072319	M11072319	0.0778212	-0.00704109	-0.0265203	-0.0197693	0.0159339	-0.00384052	0.0413963	-0.0103271	0.0146792	-0.00913173
M11060909	M11060909	0.0764704	-0.00740267	0.00990037	-0.0558966	0.0349103	0.0310742	0.0306736	0.0259465	0.00209337	0.0172205
M11072304	M11072304	0.077263	-0.00432016	0.0152659	-0.0089139	0.0230954	0.00478458	0.0565161	-0.0397247	0.0290235	-0.0194523
M11081314	M11081314	0.0772439	-0.00646406	0.00611315	-0.0422255	0.0326406	0.00598644	-0.0227933	-0.0204776	0.0412591	0.0190765
M11081315	M11081315	0.0823154	-0.0111952	0.00417779	-0.0239215	0.0296337	0.0135266	0.0635147	0.0575395	0.0338791	0.0147628
M11081301	M11081301	0.0798454	-0.00876377	-0.018527	-0.0486824	0.0481136	0.0809996	-0.00781373	-0.0413355	0.396422	0.0670946
M11072701	M11072701	0.0756174	-0.0132206	0.113625	0.0645099	-0.136019	-0.150011	0.122674	-0.14741	-0.0110098	0.0284243
M11061507	M11061507	0.0770351	-0.00796388	0.256532	0.355483	0.267903	-0.0287638	0.018695	0.0486072	-0.0144648	-0.000564201
M11052501	M11052501	0.0753322	-0.0127914	0.11217	0.106043	-0.0365585	-0.00848406	0.0177517	-0.0116619	-0.0142261	-0.0144018
M11062210	M11062210	0.0795372	-0.00793121	-0.0519398	-0.00397406	0.00584367	0.000965428	0.0169167	-0.00533358	-0.0132521	0.016792
M11060905	M11060905	0.0764214	-0.0138987	0.307234	0.434129	0.35655	0.013733	-0.0128322	0.091911	-0.0330787	-0.0068336
M11060102	M11060102	0.0775631	-0.00399539	0.196202	0.286785	0.25561	0.00648877	-0.0110813	0.0925562	0.00963164	-0.00299942
M11060902	M11060902	0.0773073	-0.0065789	0.0813107	0.052259	-0.117718	-0.00338879	0.0437738	-0.0328495	0.00343591	0.00672576
M11060104	M11060104	0.0804012	-0.00362064	-0.0100636	-0.0599855	-0.00678581	0.0119514	-0.059465	0.0164003	-0.0321275	0.0531403
M11060105	M11060105	0.0753853	-0.0118052	-0.0119655	-0.0262166	-0.00195054	0.0102661	0.110908	0.0778452	0.0652114	-0.0247691
M11073019	M11073019	0.0791038	-0.00859116	-0.0104049	-0.0305146	0.0439984	0.0510305	0.000477135	0.00964671	0.0301138	-0.0396789
M11072313	M11072313	0.0808235	-0.00731285	0.0681439	0.0494518	-0.0830253	-0.103994	0.0768211	-0.0184487	0.00688138	-0.00824424
M11072314	M11072314	0.0702927	-0.00845012	-0.00020308	-0.0473694	0.0405714	-0.00295679	0.015967	0.0568379	0.0275077	-0.0753929
M11062214	M11062214	0.0765356	-0.00871579	0.166477	0.168246	-0.275152	0.0560832	-0.0786315	-0.0740737	-0.0498347	0.0266513
M11082015	M11082015	0.0768043	-0.00808695	0.129048	0.141494	-0.26619	-0.00113175	-0.0662184	0.00848031	0.0898743	0.0222338
M11062515	M11062515	0.0773774	-0.00732136	0.096594	0.105554	-0.163648	0.0441438	-0.0118449	-0.0518434	-0.0413769	0.0455625
M11072007	M11072007	0.0774476	-0.00725388	0.00433547	-0.0471914	0.016582	0.0531669	0.0132678	-0.0459421	0.0223947	-0.0432042
M11061607	M11061607	0.0763946	-0.0101533	0.0930244	0.0882552	-0.175193	0.0317721	0.00350486	-0.0165899	0.0557924	-0.0491789
M11052810	M11052810	0.0794034	-0.00757988	-0.00247933	-0.0457779	0.025942	0.00235568	-0.0344807	0.0203062	-0.0534587	0.023777
M11061606	M11061606	0.0807183	-0.00622109	0.0177613	-0.012869	0.0245202	0.0192194	-0.00160786	-0.016168	-0.0119841	0.0407143
M11060207	M11060207	0.0784497	-0.00822868	-0.00392925	-0.0401012	0.0302172	-0.0136606	0.0331437	0.0182157	-0.0259264	0.0212418
M11062909	M11062909	0.0794276	-0.011365	0.0201647	-0.0341054	0.000178351	0.0113407	0.0293139	0.0493669	0.0878003	-0.0513084
